appid,support,title,version
automatic,not_supported,(DEPRECATED) Automatic,2
metrics_explorer,not_supported,(DEPRECATED) Metrics Explorer for Splunk,0.1.2
technology_inventory,not_supported,(DEPRECATED) Technology Inventory,0.5
RiskIQApp,developer,(LEGACY) RiskIQ Digital Footprint App,1.1.0
conf_archives,not_supported,.conf Archive Search,3.2
onepassword_events_api,developer,1Password Events Reporting for Splunk,1.3.0
TwoSteps,developer,2Steps,1.1.1
TwoSteps_Cloud,developer,2Steps - Cloud,5.0.8
splunk_app_3cx,developer,3CX PhoneSystem app for Splunk,1.0.0
splunk-3D-graph-network-topology-viz,not_supported,3D Graph Network Topology Visualization,1.3.0
A10-L7_Firewall_Dashboard,not_supported,A10 Networks Application Firewall App,0.1
A10-DC_Firewall,not_supported,A10 Networks L4 Firewall App,0.1
A10_Networks-SSLi_App,not_supported,A10 Networks SSL Insight App,0.1
act,not_supported,ACT Threat Intelligence,1.0.0
e531ceaa-1091-11ea-a197-06cf444d769a,developer,ADO.NET Provider for Splunk by CData,Not Specified
SA-ADTimeline,not_supported,ADTimeline,1.1
40c884c0-49d9-11e7-a2c7-06caacf1c708,not_supported,AML Compliance app for Splunk,Not Specified
amqp_ta,developer,AMQP Messaging Modular Input,1
871c8afe-9079-11ea-8e8e-0242112bd934,developer,API Fortress - Splunk Connector,Not Specified
api_alerts,not_supported,API alerts,2.1.0
SWP_APM,developer,APM Integration,1.0.1
TA-asngen,not_supported,ASN Lookup Generator,1.0.1
AVAYA_CALL,not_supported,AVAYA CALL,2.16
aws_cert_reporting,developer,AWS Certificate Reporting,1.0.2
SWP_AWS,developer,AWS Cloudwatch Integration,1.0.1
AWS-Lambda-Call-Addon-For-Splunk,not_supported,AWS Lambda Alert Action,1.0.0
TA-aws-trusted-advisor,developer,AWS Trusted Advisor Aggregator,1.0.8Rde24ac2
TA-aws_waf,developer,AWS Web Application Firewall Add-on,1.0.1
abuseipdb_check,not_supported,AbuseIPDB Check,1.0.0
skylight_security_for_splunk,not_supported,Accedian Skylight powered Security,1.0.1
AccellionCiso,developer,Accellion CISO Dashboard,1.5.0
AccellionCisoAddon,developer,Accellion CISO Dashboard Add-On,1.2.0
TA-idefense,developer,Accenture CTI IntelGraph Add-on,3.1.0
jds-arm,developer,Active Robot Monitoring (ARM) by JDS Australia,2
Activu,developer,Activu vis/ability Link plugin,1.0.1
TA-acunetix-360,developer,Acunetix 360,1.0.0
TA-acunetix-360-add-on-for-splunk-cloud,developer,Acunetix 360 Add-on For Splunk Cloud,1.5.0
TA-bugcrowd,not_supported,Add-On for Bugcrowd,1.2
TA_fidelis,not_supported,Add-On for Fidelis XPS,1.1
SA-haveibeenpwned,not_supported,Add-On for HaveIBeenPwned,2.0.3
TA-maclookup,not_supported,Add-On for MAC lookup,2.5.2
TA_wifi_defcon_1,not_supported,Add-On for Wi-Fi Defcon 1,1
5c4a497c-edca-11e8-a11e-022fbef3fa08,not_supported,Add-On for Windows DNS Analytical Logging,Not Specified
TA-Cb_Defense,not_supported,Add-On- Endpoint Standard VMware Carbon Black Cloud,2.0.4
TA-debug-refresh,not_supported,Add-on Debug Refresh,2.2.2
TA-LDAP,not_supported,Add-on for  LDAP,3
Splunk_TA_access_combined,not_supported,Add-on for Access Combined,1.2.1
TA-allure-security,developer,Add-on for Allure Security,1.0.31
Splunk_TA_AsiainfoTDA,developer,Add-on for Asiainfo TDA,1.0.0
TA-jira-service-desk-simple-addon,developer,Add-on for Atlassian JIRA Service Desk alert action,1.0.30
TA-auscert,developer,Add-on for AusCERT,1.0.1
TA-barracudawebfilter,not_supported,Add-on for Barracuda Web Filter,1.0.0
TA-add-on-for-bluecat-ipam,developer,Add-on for BlueCat IPAM,2.1.3
TA-Bro_IDS,not_supported,Add-on for Bro-IDS,2.2.2
TA-add-on-for-carbon-intensity,developer,Add-on for Carbon Intensity,1.0.0
TA-checkpoint-cef,not_supported,Add-on for Check Point Log Exporter (CEF),1.0.1
TA-add-on-for-cisco-prime-infrastructure,developer,Add-on for Cisco Prime Infrastructure,2.1.2
TA-fints,developer,Add-on for FinTS,1.0.0
Splunk_TA_pflog,not_supported,Add-on for FreeBSD pflogd,1.0.1
TA-add-on-for-hive,developer,Add-on for Hive Home,1.0.1
TA-jumpcloud,not_supported,Add-on for JumpCloud,1.0.1
TA_McAfee_Web_Gateway,developer,Add-on for McAfee Web Gateway,1.0.3
TA-met-office-weather-forecast,developer,Add-on for Met Office DataHub,1.0.0
TA-microsoft-defender,developer,Add-on for Microsoft Defender ATP Known As Windows Defender ATP,1.0.0
TA-Microsoft_Forefront_TMG,not_supported,Add-on for Microsoft Forefront Threat Management Gateway,1.0.2
TA-Splunk-Moogsoft,not_supported,Add-on for Moogsoft AIOps,2.0.0
ta-mulesoft,not_supported,Add-on for MuleSoft,1.0.0
TA-mulesoft-cloudhub-add-on-for-splunk,developer,Add-on for Mulesoft Cloudhub,1.1.6
TA-otx,not_supported,Add-on for Open Threat Exchange,2.0.1
TA-Puppet_Enterpirse,not_supported,Add-on for Puppet Enterprise,1.0.0
TA-add-on-for-sophos-xg,not_supported,Add-on for Sophos XG,1.1.4
TA-symantec-smg,developer,Add-on for Symantec Brightmail or Messaging Gateway,1
TA_vmray_platform,not_supported,Add-on for VMRay Platform,2.0.0
ta_i-filter,not_supported,Add-on for i-Filter,1.0.6
TA-Splunk-ignio,not_supported,Add-on for ignio AIOps,1.0.0
TA-symantec-mg,developer,Add-on for symantec messaging gateway,1.2
